#queryid	MCT.f.0307	MCT.f.0308	MCT.f.0310	MCT.f.0311	MCT.f.0312	MCT.f.0313	MCT.f.0314	MCT.f.0315	MCT.f.0316	MCT.f.0318	MCT.f.0319	MCT.f.0320	MCT.f.0321	MCT.f.0322	MCT.f.0323	taxonomy
cazy_0216_gene_1292	3.0	3.0	4.0	2.0	2.0	0.0	1.0	2.0	0.0	4.0	11.0	0.0	3.0	3.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0692_gene_2167	1.0	2.0	6.0	6.0	1.0	3.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	3.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_1045_gene_5155	0.0	0.0	3.0	1.0	7.0	1.0	1.0	3.0	2.0	3.0	2.0	0.0	0.0	6.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0678_gene_21324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_1030_gene_4991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_1125_gene_6501	1.0	2.0	1.0	4.0	8.0	1.0	5.0	4.0	4.0	8.0	6.0	0.0	2.0	7.0	4.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_1126_gene_6501	2.0	1.0	0.0	0.0	4.0	0.0	0.0	7.0	0.0	2.0	1.0	0.0	1.0	2.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_1187_gene_7235	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0319_gene_14322	1.0	0.0	1.0	2.0	3.0	0.0	1.0	2.0	6.0	1.0	4.0	0.0	0.0	1.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0347_gene_14756	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0602_gene_19844	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0677_gene_21324	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0738_gene_2289	5.0	8.0	4.0	7.0	15.0	9.0	10.0	12.0	15.0	19.0	14.0	0.0	11.0	8.0	15.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_1059_gene_5352	2.0	5.0	3.0	5.0	15.0	7.0	5.0	14.0	8.0	9.0	7.0	0.0	5.0	2.0	12.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0420_gene_15756	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM30
cazy_0040_gene_10569	2.0	1.0	1.0	0.0	1.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0049_gene_10719	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0050_gene_10719	1.0	0.0	2.0	2.0	3.0	1.0	0.0	3.0	3.0	2.0	8.0	0.0	0.0	1.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0054_gene_1076	1.0	0.0	0.0	2.0	4.0	0.0	6.0	5.0	2.0	4.0	1.0	0.0	3.0	4.0	7.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0055_gene_1077	1.0	1.0	1.0	1.0	3.0	0.0	0.0	1.0	3.0	4.0	1.0	0.0	0.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0062_gene_10850	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0084_gene_11243	1.0	1.0	0.0	2.0	4.0	2.0	2.0	6.0	7.0	4.0	2.0	0.0	5.0	1.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0094_gene_11434	0.0	2.0	0.0	0.0	5.0	4.0	0.0	1.0	3.0	4.0	3.0	0.0	2.0	3.0	4.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0117_gene_11713	2.0	1.0	0.0	1.0	7.0	1.0	3.0	1.0	2.0	1.0	2.0	0.0	0.0	2.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0124_gene_11757	0.0	0.0	1.0	0.0	3.0	2.0	2.0	4.0	2.0	2.0	0.0	0.0	1.0	0.0	6.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0131_gene_1184	0.0	3.0	0.0	1.0	2.0	1.0	3.0	3.0	1.0	2.0	0.0	0.0	3.0	1.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0153_gene_12120	0.0	1.0	1.0	3.0	4.0	2.0	3.0	3.0	1.0	2.0	2.0	0.0	3.0	3.0	4.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0157_gene_12184	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0171_gene_12330	1.0	0.0	2.0	0.0	3.0	0.0	2.0	5.0	3.0	5.0	0.0	1.0	2.0	4.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
