food	cazyme	coef	id	fdr_p	p	cazy_cat	bin
Fruits	GH126	0.761764705882353	MCTs07	0.0901288225571768	0.00060534283807059	GH	Positive (+/+ or -/-)
Grains	CE11	0.767647058823529	MCTs07	0.0901288225571768	0.000516883524295922	CE	Positive (+/+ or -/-)
Grains	CBM20	0.841176470588235	MCTs07	0.0447590560994393	4.44290429431383e-05	CBM	Positive (+/+ or -/-)
Grains	GH1	-0.755882352941176	MCTs07	0.0922303926463874	0.000705890586909894	GH	Negative (+/-)
Grains	GH113	-0.779411764705882	MCTs07	0.0766233102894665	0.000371680236478756	GH	Negative (+/-)
Grains	GH25	-0.755882352941176	MCTs07	0.0922303926463874	0.000705890586909894	GH	Negative (+/-)
Grains	GH38	0.791176470588235	MCTs07	0.0749295168377816	0.00026194644808246	GH	Positive (+/+ or -/-)
Grains	GH42	-0.764705882352941	MCTs07	0.0901288225571768	0.000559676294356745	GH	Negative (+/-)
Grains	GH57	0.844117647058823	MCTs07	0.0447590560994393	3.93024273739987e-05	GH	Positive (+/+ or -/-)
Grains	GH94	-0.788235294117647	MCTs07	0.0749295168377816	0.000286465682391849	GH	Negative (+/-)
Grains	GT35	-0.764705882352941	MCTs07	0.0901288225571768	0.000559676294356745	GT	Negative (+/-)
Grains	PL22	0.838235294117647	MCTs07	0.0447590560994393	5.01034210068351e-05	PL	Positive (+/+ or -/-)
Sweets and Beverages	CBM20	0.816777263066049	MCTs07	0.0731848435824045	0.000112789178242289	CBM	Positive (+/+ or -/-)
Sweets and Beverages	GH1	-0.754967091806996	MCTs07	0.0922303926463874	0.000722700837900797	GH	Negative (+/-)
Sweets and Beverages	GH112	-0.782928835947996	MCTs07	0.0749295168377816	0.000335505299273649	GH	Negative (+/-)
Sweets and Beverages	GH125	0.793230531157838	MCTs07	0.0749295168377816	0.000245874781873768	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH57	0.782928835947996	MCTs07	0.0749295168377816	0.000335505299273649	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH88	0.763797116272575	MCTs07	0.0901288225571768	0.000573472819458265	GH	Positive (+/+ or -/-)
Sweets and Beverages	GH92	0.809418909344733	MCTs07	0.0731848435824045	0.000145514816663813	GH	Positive (+/+ or -/-)
Vegetables	CE9	0.805882352941176	MCTs07	0.0731848435824045	0.000163846664736726	CE	Positive (+/+ or -/-)
Vegetables	GH125	-0.785294117647059	MCTs07	0.0749295168377816	0.000312853917886011	GH	Negative (+/-)
Sweets and Beverages	GH95	0.902097902097902	MCTs13	0.071914310783987	5.9978574465377e-05	GH	Positive (+/+ or -/-)
Milks	CBM48	0.816176470588235	MCTs14	0.079454832560871	6.44925588968109e-05	CBM	Positive (+/+ or -/-)
Milks	GH9	-0.791666666666667	MCTs14	0.0941096127503619	0.000152775345373964	GH	Negative (+/-)
Vegetables	GH92	0.860714285714286	MCTs16	0.0712394284242838	3.80552502266473e-05	GH	Positive (+/+ or -/-)
Vegetables	GH125	-0.838235294117647	MCTs18	0.0266758538350018	2.64641407093272e-05	GH	Negative (+/-)
Legumes	AA6	-0.888111888111888	MCTs20	0.0456153947257567	0.00011413359814618	AA	Negative (+/-)
Sweets and Beverages	GH106	-0.93006993006993	MCTs20	0.0140309712864629	1.17022279286597e-05	GH	Negative (+/-)
Sweets and Beverages	GH130	0.902097902097902	MCTs20	0.0359571553919935	5.9978574465377e-05	GH	Positive (+/+ or -/-)
Vegetables	GT26	0.857843137254902	MCTs23	0.0151814436885423	1.06611261857741e-05	GT	Positive (+/+ or -/-)
Grains	CBM66	0.713235294117647	MCTs32	0.0488728484377501	0.00130725178033785	CBM	Positive (+/+ or -/-)
Grains	CE12	-0.845588235294118	MCTs32	0.00725599578022317	1.90947257374294e-05	CE	Negative (+/-)
Grains	CE7	-0.644607843137255	MCTs32	0.0825625895493449	0.00521447933995863	CE	Negative (+/-)
Grains	CE9	0.659313725490196	MCTs32	0.0797715362536413	0.00398857681268207	CE	Positive (+/+ or -/-)
Grains	GH110	0.676470588235294	MCTs32	0.0672273156153812	0.00286506386532915	GH	Positive (+/+ or -/-)
Grains	GH123	0.627450980392157	MCTs32	0.0986781986928297	0.00701134569659579	GH	Positive (+/+ or -/-)
Grains	GH130	-0.654411764705882	MCTs32	0.0824960251323496	0.00436797854042077	GH	Negative (+/-)
Grains	GH142	0.693627450980392	MCTs32	0.058874977757071	0.0020141439758998	GH	Positive (+/+ or -/-)
Grains	GH18	0.651960784313726	MCTs32	0.0824960251323496	0.00456834626692479	GH	Positive (+/+ or -/-)
Grains	GH2	-0.705882352941177	MCTs32	0.0488728484377501	0.00154335310856053	GH	Negative (+/-)
Grains	GH28	-0.781862745098039	MCTs32	0.0198703714106002	0.000209161804322107	GH	Negative (+/-)
Grains	GH35	-0.649509803921569	MCTs32	0.0824960251323496	0.00477608566555708	GH	Negative (+/-)
Grains	GH43	-0.674019607843137	MCTs32	0.0672273156153812	0.003007537803846	GH	Negative (+/-)
Grains	GH5	-0.713235294117647	MCTs32	0.0488728484377501	0.00130725178033785	GH	Negative (+/-)
Grains	GH51	-0.74264705882353	MCTs32	0.0346476775201733	0.000638246691161088	GH	Negative (+/-)
Grains	GH53	-0.801470588235294	MCTs32	0.0138998095017518	0.000109735338171724	GH	Negative (+/-)
Grains	GH67	-0.688725490196079	MCTs32	0.0606019037654866	0.00223270171767582	GH	Negative (+/-)
Grains	GH76	0.708333333333333	MCTs32	0.0488728484377501	0.00146104977384656	GH	Positive (+/+ or -/-)
Grains	GH89	-0.642156862745098	MCTs32	0.0827722270366896	0.00544554125241379	GH	Negative (+/-)
Grains	GH94	-0.75	MCTs32	0.0332962833628334	0.000525730789939475	GH	Negative (+/-)
